"Driver"	"Rotor_1"	"Rotor_2"
0.628	0.92	0.508
0.663	0.941	0.603
0.698	0.951	0.693
0.731	0.961	0.777
0.761	0.966	0.851
0.793	0.968	0.912
0.823	0.962	0.958
0.847	0.959	0.988
0.873	0.949	1
0.895	0.935	0.994
0.915	0.918	0.97
0.933	0.897	0.93
0.947	0.871	0.874
0.959	0.842	0.804
0.97	0.801	0.724
0.98	0.758	0.635
0.986	0.713	0.542
0.991	0.669	0.447
0.993	0.625	0.354
0.998	0.579	0.266
0.996	0.537	0.187
0.996	0.487	0.119
0.997	0.437	0.065
0.996	0.384	0.026
0.996	0.332	0.005
0.995	0.279	0.001
0.996	0.226	0.015
0.997	0.176	0.047
0.996	0.132	0.095
0.996	0.09	0.157
0.992	0.054	0.232
0.985	0.028	0.317
0.969	0.013	0.408
0.944	0.012	0.503
0.919	0.025	0.597
0.894	0.055	0.688
0.866	0.093	0.772
0.84	0.143	0.846
0.812	0.201	0.908
0.785	0.262	0.956
0.754	0.332	0.986
0.722	0.406	0.999
0.689	0.482	0.995
0.653	0.556	0.972
0.618	0.624	0.933
0.583	0.69	0.877
0.551	0.753	0.809
0.518	0.815	0.729
0.482	0.875	0.641
0.447	0.927	0.548
0.411	0.965	0.453
0.376	0.986	0.359
0.34	0.984	0.271
0.305	0.962	0.191
0.272	0.924	0.123
0.24	0.869	0.068
0.21	0.803	0.028
0.181	0.735	0.005
0.154	0.665	0
0.128	0.59	0.014
0.105	0.505	0.044
0.082	0.42	0.092
0.064	0.344	0.153
0.048	0.276	0.228
0.033	0.22	0.312
0.021	0.169	0.403
0.012	0.124	0.497
0.005	0.087	0.592
0.001	0.059	0.683
0	0.036	0.767
0	0.02	0.842
0.001	0.01	0.905
0	0.008	0.953
0.001	0.01	0.985
0	0.02	0.999
0	0.037	0.996
0.001	0.061	0.974
0	0.092	0.935
0.004	0.127	0.881
0.017	0.168	0.813
0.04	0.223	0.734
0.073	0.291	0.646
0.101	0.363	0.553
0.133	0.435	0.458
0.162	0.5	0.365
0.197	0.567	0.276
0.23	0.635	0.196
0.267	0.699	0.126
0.306	0.758	0.07
0.343	0.811	0.03
0.379	0.862	0.006
0.417	0.904	0
0.454	0.933	0.012
0.491	0.957	0.042
0.529	0.972	0.088
0.568	0.978	0.149
0.603	0.978	0.223
0.638	0.974	0.307
0.673	0.961	0.397
0.707	0.946	0.491
0.742	0.927	0.586
0.771	0.902	0.678
0.801	0.877	0.763
0.829	0.849	0.838
0.854	0.818	0.902
0.878	0.775	0.951
0.899	0.727	0.984
0.919	0.675	0.999
0.935	0.624	0.996
0.95	0.573	0.976
0.962	0.522	0.938
0.974	0.47	0.885
0.983	0.417	0.817
0.989	0.365	0.739
0.992	0.307	0.652
0.996	0.252	0.559
0.998	0.197	0.464
0.997	0.148	0.37
0.997	0.101	0.281
0.997	0.063	0.2
0.998	0.035	0.13
0.997	0.016	0.073
0.997	0.013	0.032
0.998	0.027	0.007
0.998	0.056	0
0.997	0.102	0.011
0.997	0.16	0.04
0.993	0.224	0.085
0.984	0.29	0.145
0.961	0.373	0.218
0.935	0.464	0.301
0.91	0.554	0.392
0.887	0.637	0.486
0.862	0.715	0.58
0.833	0.786	0.672
0.807	0.85	0.758
0.778	0.909	0.834
0.746	0.956	0.898
0.711	0.986	0.948
0.677	0.994	0.982
0.64	0.978	0.998
0.604	0.942	0.997
0.57	0.894	0.977
0.536	0.834	0.941
0.502	0.766	0.888
0.466	0.694	0.822
0.429	0.618	0.744
0.394	0.53	0.657
0.358	0.444	0.564
0.323	0.362	0.47
0.29	0.288	0.376
0.257	0.228	0.287
0.228	0.176	0.205
0.199	0.134	0.134
0.171	0.098	0.076
0.147	0.071	0.034
0.123	0.049	0.008
0.101	0.032	0
0.08	0.017	0.01
0.063	0.01	0.038
0.047	0.008	0.082
0.034	0.01	0.141
0.023	0.014	0.214
0.016	0.022	0.296
0.01	0.035	0.386
0.007	0.05	0.48
0.006	0.07	0.575
0.006	0.093	0.667
0.006	0.119	0.753
0.007	0.152	0.83
0.007	0.198	0.895
0.007	0.246	0.946
0.007	0.297	0.981
0.007	0.349	0.998
0.007	0.397	0.998
0.011	0.448	0.979
0.024	0.503	0.943
0.053	0.557	0.892
0.083	0.61	0.826
0.112	0.664	0.749
0.142	0.717	0.662
0.174	0.768	0.57
0.21	0.818	0.475
0.243	0.865	0.381
0.282	0.904	0.292
0.318	0.935	0.21
0.357	0.958	0.138
0.393	0.973	0.079
0.43	0.981	0.036
0.465	0.974	0.009
0.504	0.968	0
0.543	0.953	0.009
0.58	0.936	0.036
0.616	0.911	0.079
0.649	0.881	0.137
0.685	0.851	0.209
0.719	0.817	0.291
0.75	0.774	0.381
0.781	0.721	0.475
0.811	0.669	0.569
0.837	0.617	0.662
0.864	0.567	0.748
0.888	0.517	0.826
0.908	0.463	0.891
0.928	0.413	0.943
0.942	0.357	0.979
0.955	0.299	0.997
0.968	0.241	0.998
0.978	0.184	0.981
0.986	0.131	0.946
0.994	0.082	0.895
0.997	0.04	0.83
0.999	0.015	0.754
0.997	0.009	0.668
0.998	0.018	0.576
0.999	0.046	0.481
0.999	0.09	0.387
0.999	0.151	0.297
1	0.219	0.214
0.999	0.291	0.142
0.999	0.37	0.082
0.998	0.464	0.038
0.998	0.559	0.01
0.997	0.649	0
0.991	0.729	0.008
0.977	0.799	0.034
0.952	0.862	0.076
0.925	0.916	0.134
0.901	0.958	0.204
0.876	0.982	0.286
0.85	0.992	0.375
0.822	0.987	0.469
0.792	0.955	0.564
0.761	0.911	0.656
0.727	0.856	0.743
0.693	0.795	0.821
0.659	0.727	0.888
0.623	0.655	0.941
0.588	0.575	0.977
0.552	0.485	0.997
0.518	0.403	0.999
0.483	0.326	0.982
0.448	0.261	0.949
0.413	0.203	0.899
0.378	0.155	0.835
0.344	0.116	0.758
0.31	0.085	0.673
0.278	0.059	0.581
0.247	0.039	0.486
0.218	0.026	0.392
0.189	0.015	0.302
0.163	0.01	0.219
0.138	0.008	0.146
0.115	0.01	0.085
0.093	0.014	0.04
0.073	0.021	0.011
0.057	0.031	0
0.043	0.042	0.007
0.031	0.056	0.032
0.021	0.073	0.073
0.014	0.093	0.13
0.01	0.117	0.2
0.008	0.151	0.281
0.008	0.189	0.37
0.009	0.226	0.463
0.009	0.269	0.558
